id,modelname,make
35,FR-S,
36,iA,
37,iM,
34,iQ (2012 on.  See Toyota for 2010-2011),
398,Other (automobile),
32,tC (2012 on.  See Toyota for 2005-2011),
399,Unknown (automobile),
31,xB (2012 on.  See Toyota for 2004-2011),
33,xD (2012 on.  See Toyota for 2007-2011),
