Make,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Model
Audi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2029.0,14256.0,12072.0,12539.0,Q8
Audi,0.0,0.0,240.0,900.0,699.0,799.0,1145.0,802.0,813,735.0,495.0,736.0,772.0,927.0,574.0,583.0,648.0,R8
Audi,2822.0,954.0,4355.0,4486.0,1935.0,1531.0,2236.0,2226.0,2053,1158.0,1167.0,3044.0,2294.0,1289.0,1324.0,832.0,987.0,TT
Other Import,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,884.0,1152.0,0.0,0.0,0.0,0.0,Rolls Royce/Bentley
Other Import,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1701.0,1144.0,898.0,0.0,0.0,0.0,0.0,Rolls Royce/Bentley
Other Import,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,791.0,400.0,257.0,0.0,0.0,0.0,0.0,Rolls Royce/Bentley
Other Import,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,194.0,153.0,98.0,0.0,0.0,0.0,0.0,Rolls Royce/Bentley
BMW,0.0,0.0,0.0,12018.0,11182.0,13132.0,8832.0,7689.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1-Series
BMW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7220,7345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1-Series & 2-Series
BMW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,13020.0,15519.0,11737.0,9208.0,8015.0,13209.0,15684.0,2-Series
BMW,106950.0,120180.0,142490.0,112464.0,90960.0,100910.0,94371.0,99602.0,0,0.0,94540.0,70458.0,59449.0,44578.0,47827.0,39290.0,49458.0,3-Series
