Make_Model,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
BMW X7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21574,23230,23046
BMW Z4,10045,12285,10097,5879,3523,3804,3479,2751,2480,2151,1829,1187,502,4,2941,2364,2412
BMW Z8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buick Cascada,0,0,0,0,0,0,0,0,0,0,0,7153,5595,4628,2535,12,0
Buick Century,6504,83,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buick Enclave,0,0,29286,44706,43150,55426,58392,56703,60534,62300,62081,52028,48564,49648,51156,38479,42340
Buick Encore,0,0,0,0,0,0,0,0,31956,48892,67549,78565,88035,93071,102401,44353,20438
Buick Encore GX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42240,72401
Buick Envision,0,0,0,0,0,0,0,0,0,0,0,14193,41040,30153,33230,34943,47173
Buick LaCrosse,92669,71072,47747,36873,27818,61178,58474,57076,48798,51468,42035,27582,20161,15527,7241,229,9
Buick LeSabre,75369,2313,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buick Lucerne,8821,96515,82923,54930,31292,26459,20358,971,9,0,0,0,0,0,0,0,0
Buick Park Avenue,2175,51,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buick Rainier,15271,12691,4819,117,4,0,0,0,0,0,0,0,0,0,0,0,0
Buick Regal,602,0,0,0,0,12326,40144,24616,18685,22560,19504,19833,11559,14117,10363,2493,19
Buick Relay,0,0,0,163,12,0,0,0,0,0,0,0,0,0,0,0,0
Buick Rendezvous,60589,45954,15295,27,9,0,0,0,0,0,0,0,0,0,0,0,0
Buick Terraza,20288,11948,5569,544,33,0,0,0,0,0,0,0,0,0,0,0,0
Buick Verano,0,0,0,0,0,0,265,41042,45527,43743,31886,30277,4277,0,0,0,0
Buick Verona,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Cadillac ATS,0,0,0,0,0,0,0,7008,38319,29890,26873,21505,13100,10860,1134,115,0
Cadillac CT4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4888,7254
Cadillac CT5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,14712,9448
Cadillac CT6,0,0,0,0,0,0,0,0,0,0,0,9169,10542,9669,7952,3117,103
Cadillac CTS,61512,54846,57029,58774,38817,45656,55042,46979,32343,31115,19485,15911,10344,11220,6966,611,68
Cadillac Deville,38661,807,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cadillac DTS,23322,58224,51469,30479,17330,18640,11589,465,19,0,0,0,0,0,0,0,0
Cadillac ELR,0,0,0,0,0,0,0,0,6,1310,1024,534,17,0,0,0,0
Cadillac Escalade,51144,62206,60991,39710,25884,26874,15079,12615,12592,19482,21230,23604,37694,36032,35424,24545,40504
Cadillac Escalade ESV,0,0,0,0,0,0,8388,8083,7950,10987,14691,15488,0,0,0,0,0
Cadillac Escalade EXT,0,0,0,0,0,0,2036,1934,1972,53,2,0,0,0,0,0,0
Cadillac Seville,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cadillac SRX,22999,22043,22543,16156,20237,51094,56905,57485,56776,53578,68850,22139,156,0,0,0,0
Cadillac STS,33497,25676,20873,14790,6037,4473,3338,164,7,0,0,0,0,0,0,0,0
Cadillac XLR,3730,3203,1750,1250,787,188,0,0,0,0,0,0,0,0,0,0,0
Cadillac XT4,0,0,0,0,0,0,0,0,0,0,0,0,0,7785,31987,22473,11576
Cadillac XT5,0,0,0,0,0,0,0,0,0,0,0,39485,68312,60566,49878,35224,28378
Cadillac XT6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11560,22610,20663
Cadillac XTS,0,0,0,0,0,0,0,15049,32559,24335,23112,22171,16275,17729,11306,1200,0
Chevrolet Astro,19215,386,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chevrolet Avalanche,63186,57076,55550,35003,16432,20515,20088,23995,16526,92,8,0,0,0,0,0,0
Chevrolet Aveo,68085,58244,67028,55360,38516,48623,28601,67,2,0,0,0,0,0,0,0,0
Chevrolet Blazer,4936,114,7,0,0,0,0,0,0,0,0,0,0,27,58116,94598,70323
Chevrolet Bolt,0,0,0,0,0,0,0,0,0,0,0,579,23297,18020,16419,20753,24827
Chevrolet Camaro,0,0,0,0,61648,81299,88249,84391,80567,86297,77502,72705,67940,50963,48266,29777,21893
Chevrolet Caprice PPV,0,0,0,0,0,0,880,3734,3899,3727,1845,1021,693,0,0,0,0
Chevrolet Captiva Sport,0,0,0,0,0,0,7038,36935,47600,35368,55,2,0,0,0,0,0
Chevrolet Cavalier,18960,355,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chevrolet City Express,0,0,0,0,0,0,0,0,0,530,10283,7019,8348,0,0,0,0
Chevrolet Cobalt,212667,211449,200620,188045,104724,97376,856,11,0,0,0,0,0,0,0,0,0
Chevrolet Colorado,128359,93876,75716,54346,32413,24642,31026,36840,3412,8003,84430,108725,112996,134842,121703,96236,73008
Chevrolet Corvette,32489,36518,33685,26971,13934,12624,13164,14132,17291,34839,33329,29995,25079,18789,17988,21627,33042
Chevrolet Cruze,0,0,0,0,0,24495,231732,237758,248224,273060,226602,188876,184751,142618,47975,783,0
Chevrolet Equinox,130542,113888,89552,67447,86148,149979,193274,218621,238192,242242,277589,242195,290458,332621,346049,270994,165325
Chevrolet Express,0,0,0,0,0,0,0,0,79087,79352,63382,68007,69164,66963,77457,55040,44357
Chevrolet HHR,41011,101298,105175,96053,70842,75401,37012,21,3,0,0,0,0,0,0,0,0
Chevrolet Impala,246481,289868,311128,265840,165565,172078,171434,169351,156797,140280,116825,97006,75877,56557,44978,9943,750
Chevrolet Malibu,203503,163853,128312,178253,161568,198770,204808,210951,200594,188519,194854,227881,185857,144542,120302,102652,39376
Chevrolet Malibu Classic,42358,18,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chevrolet Monte Carlo,33562,34113,15784,711,6,0,0,0,0,0,0,0,0,0,0,0,0
Chevrolet S10,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chevrolet Silverado,705980,636069,618257,465065,316544,370135,415130,418312,480414,529755,600544,574876,585864,585582,575569,593057,529765
Chevrolet Sonic,0,0,0,0,0,0,15778,81247,85646,93518,64775,55255,30290,20613,13970,13007,1581
Chevrolet Spark,0,0,0,0,0,0,0,12385,34130,39159,32853,35511,22589,23603,31280,33480,24460
Chevrolet SS,0,0,0,0,0,0,0,0,418,2479,2895,3013,4055,0,0,0,0
Chevrolet SSR,8107,3803,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chevrolet Suburban,87011,77211,83673,54058,41055,45152,49427,48116,51260,55009,50866,60082,56516,60633,51928,33644,85159
Chevrolet Tahoe,152305,161491,146256,91578,73254,75675,80527,68904,83502,97726,88342,103306,98961,104152,101189,88237,106019
Chevrolet Tracker,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chevrolet TrailBlazer,244150,174797,134626,74878,8829,218,0,0,0,0,0,0,0,0,0,34292,90163
Chevrolet Traverse,0,0,0,9456,91074,106744,107131,85606,96467,103943,119945,116701,123506,146264,147122,125546,116251
